,id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,notional,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm
0,d0a4794e-5ec8-449c-b772-5cebbb624a4d,57a75291-b103-4027-95ea-8a36c20d273e,2022-03-04T19:59:54.12737Z,2022-03-04T19:59:54.290223Z,2022-03-04T19:59:54.125595Z,2022-03-04T19:59:54.287368Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2623.35,,market,market,buy,day,,,filled,False,,,,
1,260c086f-cf50-4923-b915-6f53fbcf85bf,b37fda44-eff3-41c3-9263-bbb0ba6a65f4,2022-03-04T19:59:47.228703Z,2022-03-04T19:59:47.402927Z,2022-03-04T19:59:47.226971Z,2022-03-04T19:59:47.400317Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,12,12,831.5,,market,market,buy,day,,,filled,False,,,,
2,1fff23d8-b663-4357-8d2b-324425fb91a8,61c92b0c-3d7f-4fd8-a41e-ed57452d8c22,2022-03-04T19:59:39.052085Z,2022-03-04T19:59:39.198925Z,2022-03-04T19:59:39.050694Z,2022-03-04T19:59:39.195685Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,61,61,162.61,,market,market,buy,day,,,filled,False,,,,
3,cac76afb-6f12-4676-9c15-3f568a443b09,7b30e912-0f6b-46d2-bae6-3bed44e45cd1,2022-03-04T17:59:20.561996Z,2022-03-04T17:59:20.643146Z,2022-03-04T17:59:20.561415Z,2022-03-04T17:59:20.640038Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,104,104,85.66,,market,market,sell,day,,,filled,False,,,,
4,98224c01-8a91-4a76-a64c-69254b6c0dd0,6af34b4d-7121-4dff-8670-00fa0306adec,2022-03-04T17:59:15.84155Z,2022-03-04T17:59:15.945994Z,2022-03-04T17:59:15.840979Z,2022-03-04T17:59:15.943177Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,840.21,,market,market,sell,day,,,filled,False,,,,
5,4599f763-4c4c-4a78-841c-e7a3e8fedb7a,f41c382a-5785-4b58-bb81-cbe541aef0e7,2022-03-04T17:59:09.680715Z,2022-03-04T17:59:09.765174Z,2022-03-04T17:59:09.680246Z,2022-03-04T17:59:09.762412Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,382,382,25.62,,market,market,sell,day,,,filled,False,,,,
6,ca264627-3d94-4d35-94f7-08438ce717b7,e4f44de8-1475-46db-8c4a-e0c0598402a3,2022-03-04T16:58:59.107474Z,2022-03-04T16:58:59.304976Z,2022-03-04T16:58:59.1069Z,2022-03-04T16:58:59.301885Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,9,9,2621.15,,market,market,sell,day,,,filled,False,,,,
7,16444131-da27-4e3d-9f02-089c9c072eb4,76bb88df-5166-445b-ab79-f516f265938a,2022-03-04T16:58:45.883324Z,2022-03-04T16:58:46.009255Z,2022-03-04T16:58:45.882755Z,2022-03-04T16:58:46.006351Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,240,240,162.7,,market,market,sell,day,,,filled,False,,,,
8,a0599762-2948-4184-9706-69c6696b470b,f12a27b2-d9ee-491f-b9d1-4f60d59f22ef,2022-03-04T15:58:41.322765Z,2022-03-04T15:58:41.490204Z,2022-03-04T15:58:41.320448Z,2022-03-04T15:58:41.487265Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,104,104,84.8,,market,market,buy,day,,,filled,False,,,,
9,2d53c273-a3c5-48d6-b7eb-3b5e383f6492,6b4911ec-e114-4b99-9794-cc0ead0ace22,2022-03-04T15:58:34.881074Z,2022-03-04T15:58:34.925275Z,2022-03-04T15:58:34.879262Z,2022-03-04T15:58:34.922785Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,834.27,,market,market,buy,day,,,filled,False,,,,
