filled_at,symbol,qty,filled_qty,filled_avg_price,side
2022-03-04T19:59:54.287368Z,GOOG,3,3,2623.35,buy
2022-03-04T19:59:47.400317Z,TSLA,12,12,831.5,buy
2022-03-04T19:59:39.195685Z,AAPL,61,61,162.61,buy
2022-03-04T17:59:20.640038Z,NTES,104,104,85.66,sell
2022-03-04T17:59:15.943177Z,TSLA,11,11,840.21,sell
2022-03-04T17:59:09.762412Z,BILI,382,382,25.62,sell
2022-03-04T16:58:59.301885Z,GOOG,9,9,2621.15,sell
2022-03-04T16:58:46.006351Z,AAPL,240,240,162.7,sell
2022-03-04T15:58:41.487265Z,NTES,104,104,84.8,buy
2022-03-04T15:58:34.922785Z,TSLA,11,11,834.27,buy
2022-03-04T14:58:21.867358Z,GOOG,3,3,2637.04,buy
2022-03-04T14:58:16.38643Z,TSLA,11,11,848.45,sell
2022-03-04T14:58:11.571665Z,BILI,382,382,26.15,buy
2022-03-03T20:52:53.672108Z,GOOG,3,3,2681.48,buy
2022-03-03T20:52:42.158145Z,AAPL,60,60,165.93,buy
2022-03-03T19:52:33.871691Z,GOOG,3,3,2694.06,buy
2022-03-03T19:52:31.760699Z,TSLA,11,11,842.6172727,buy
2022-03-03T19:52:24.254744Z,AAPL,60,60,166.63,buy
2022-03-03T17:51:56.364276Z,GOOG,3,3,2701.59,sell
2022-03-03T17:51:53.038726Z,TSLA,22,22,855.73,sell
2022-03-03T16:51:45.015551Z,NTES,335,335,86.03,sell
2022-03-03T16:51:33.986108Z,BILI,337,337,28.64,sell
2022-03-03T15:51:28.686562Z,NTES,114,114,87.3,buy
2022-03-03T15:51:24.810186Z,GOOG,3,3,2687,buy
2022-03-03T15:51:18.978084Z,TSLA,11,11,857.95,buy
2022-03-03T15:51:12.280933Z,AAPL,60,60,166.36,buy
2022-03-03T14:51:07.777289Z,NTES,112,112,88.95,buy
2022-03-03T14:50:58.470115Z,TSLA,11,11,867.42,buy
2022-03-03T14:50:52.716223Z,BILI,337,337,29.76,buy
2022-03-03T14:30:22.461639Z,AAPL,60,60,168.61,buy
2022-03-02T18:45:28.518687Z,NTES,109,109,91.22,buy
2022-03-02T18:45:21.33272Z,TSLA,11,11,863.5818182,sell
2022-03-02T17:45:01.959168Z,BILI,329,329,29.97,sell
2022-03-02T16:44:56.366262Z,NTES,218,218,90.29,sell
2022-03-02T15:44:38.014156Z,NTES,110,110,90.1,buy
2022-03-02T15:44:30.953385Z,TSLA,11,11,854.62,buy
2022-03-02T15:44:26.452082Z,BILI,329,329,30.31,buy
2022-03-02T14:44:21.537359Z,NTES,108,108,92.03,buy
2022-03-02T14:44:14.51551Z,TSLA,11,11,876.78,sell
2022-03-01T20:40:25.174386Z,TSLA,11,11,863.45,buy
2022-03-01T19:40:06.805989Z,GOOG,3,3,2687.85,sell
2022-03-01T19:40:01.180918Z,TSLA,11,11,865.66,sell
2022-03-01T19:39:54.714923Z,AAPL,60,60,163.42,sell
2022-03-01T18:39:49.867452Z,NTES,210,210,92.86,sell
2022-03-01T18:39:38.870119Z,BILI,633,633,31.26,sell
2022-03-01T17:39:23.859897Z,BILI,320,320,31.23,buy
2022-03-01T16:39:19.005713Z,NTES,106,106,93.76,buy
2022-03-01T16:39:15.606278Z,GOOG,3,3,2693.27,buy
2022-03-01T16:39:10.787348Z,TSLA,11,11,861.67,buy
2022-03-01T16:39:05.035585Z,BILI,313,313,31.89,buy
